arquivo,classe,bpm_estimado
ecg_normal_001.png,normal,81
ecg_normal_002.png,normal,72
ecg_normal_003.png,normal,76
ecg_normal_004.png,normal,86
ecg_normal_005.png,normal,63
ecg_normal_006.png,normal,91
ecg_normal_007.png,normal,65
ecg_normal_008.png,normal,64
ecg_normal_009.png,normal,84
ecg_normal_010.png,normal,76
ecg_normal_011.png,normal,83
ecg_normal_012.png,normal,62
ecg_normal_013.png,normal,86
ecg_normal_014.png,normal,70
ecg_normal_015.png,normal,82
ecg_normal_016.png,normal,84
ecg_normal_017.png,normal,64
ecg_normal_018.png,normal,75
ecg_normal_019.png,normal,79
ecg_normal_020.png,normal,78
ecg_normal_021.png,normal,82
ecg_normal_022.png,normal,75
ecg_normal_023.png,normal,64
ecg_normal_024.png,normal,64
ecg_normal_025.png,normal,73
ecg_normal_026.png,normal,83
ecg_normal_027.png,normal,92
ecg_normal_028.png,normal,89
ecg_normal_029.png,normal,66
ecg_normal_030.png,normal,74
ecg_taquicardia_001.png,taquicardia,165
ecg_taquicardia_002.png,taquicardia,154
ecg_taquicardia_003.png,taquicardia,157
ecg_taquicardia_004.png,taquicardia,117
ecg_taquicardia_005.png,taquicardia,139
ecg_taquicardia_006.png,taquicardia,145
ecg_taquicardia_007.png,taquicardia,139
ecg_taquicardia_008.png,taquicardia,129
ecg_taquicardia_009.png,taquicardia,113
ecg_taquicardia_010.png,taquicardia,109
ecg_taquicardia_011.png,taquicardia,152
ecg_taquicardia_012.png,taquicardia,109
ecg_taquicardia_013.png,taquicardia,152
ecg_taquicardia_014.png,taquicardia,140
ecg_taquicardia_015.png,taquicardia,118
ecg_taquicardia_016.png,taquicardia,135
ecg_taquicardia_017.png,taquicardia,120
ecg_taquicardia_018.png,taquicardia,149
ecg_taquicardia_019.png,taquicardia,121
ecg_taquicardia_020.png,taquicardia,122
ecg_taquicardia_021.png,taquicardia,141
ecg_taquicardia_022.png,taquicardia,126
ecg_taquicardia_023.png,taquicardia,118
ecg_taquicardia_024.png,taquicardia,141
ecg_taquicardia_025.png,taquicardia,155
ecg_taquicardia_026.png,taquicardia,153
ecg_taquicardia_027.png,taquicardia,130
ecg_taquicardia_028.png,taquicardia,154
ecg_taquicardia_029.png,taquicardia,133
ecg_taquicardia_030.png,taquicardia,121
ecg_bradicardia_001.png,bradicardia,46
ecg_bradicardia_002.png,bradicardia,50
ecg_bradicardia_003.png,bradicardia,51
ecg_bradicardia_004.png,bradicardia,50
ecg_bradicardia_005.png,bradicardia,42
ecg_bradicardia_006.png,bradicardia,47
ecg_bradicardia_007.png,bradicardia,45
ecg_bradicardia_008.png,bradicardia,53
ecg_bradicardia_009.png,bradicardia,48
ecg_bradicardia_010.png,bradicardia,38
ecg_bradicardia_011.png,bradicardia,48
ecg_bradicardia_012.png,bradicardia,52
ecg_bradicardia_013.png,bradicardia,48
ecg_bradicardia_014.png,bradicardia,41
ecg_bradicardia_015.png,bradicardia,53
ecg_bradicardia_016.png,bradicardia,42
ecg_bradicardia_017.png,bradicardia,52
ecg_bradicardia_018.png,bradicardia,40
ecg_bradicardia_019.png,bradicardia,43
ecg_bradicardia_020.png,bradicardia,54
ecg_bradicardia_021.png,bradicardia,49
ecg_bradicardia_022.png,bradicardia,54
ecg_bradicardia_023.png,bradicardia,46
ecg_bradicardia_024.png,bradicardia,54
ecg_bradicardia_025.png,bradicardia,48
ecg_bradicardia_026.png,bradicardia,48
ecg_bradicardia_027.png,bradicardia,51
ecg_bradicardia_028.png,bradicardia,44
ecg_bradicardia_029.png,bradicardia,46
ecg_bradicardia_030.png,bradicardia,51
ecg_arritmia_001.png,arritmia,82
ecg_arritmia_002.png,arritmia,70
ecg_arritmia_003.png,arritmia,92
ecg_arritmia_004.png,arritmia,59
ecg_arritmia_005.png,arritmia,82
ecg_arritmia_006.png,arritmia,97
ecg_arritmia_007.png,arritmia,72
ecg_arritmia_008.png,arritmia,70
ecg_arritmia_009.png,arritmia,91
ecg_arritmia_010.png,arritmia,71
ecg_arritmia_011.png,arritmia,100
ecg_arritmia_012.png,arritmia,71
ecg_arritmia_013.png,arritmia,86
ecg_arritmia_014.png,arritmia,98
ecg_arritmia_015.png,arritmia,70
ecg_arritmia_016.png,arritmia,72
ecg_arritmia_017.png,arritmia,98
ecg_arritmia_018.png,arritmia,87
ecg_arritmia_019.png,arritmia,59
ecg_arritmia_020.png,arritmia,84
ecg_arritmia_021.png,arritmia,95
ecg_arritmia_022.png,arritmia,103
ecg_arritmia_023.png,arritmia,84
ecg_arritmia_024.png,arritmia,96
ecg_arritmia_025.png,arritmia,92
ecg_arritmia_026.png,arritmia,80
ecg_arritmia_027.png,arritmia,81
ecg_arritmia_028.png,arritmia,104
ecg_arritmia_029.png,arritmia,78
ecg_arritmia_030.png,arritmia,64
